question,reference_answer,reference_context,conversation_history,metadata,agent_answer,correctness,RAGAS Context Precision,RAGAS Faithfulness,RAGAS Answer Relevancy,RAGAS Context Recall,correctness_reason
ما هو الحد الأدنى للعمر لتشغيل الأشخاص في المناجم أو المحاجر وفقًا للمادة السادسة والثمانين بعد المائة؟,لا يجوز تشغيل أي شخص في المنجم أو المحجر لم يتم الثامنة عشرة من العمر.,"Document 218: content: لا يجوز تشغيل أي شخص في المنجم أو المحجر لم يتم الثامنة عشرة من العمر.
فصل: None
مادة: المادة السادسة والثمانون بعد المائة:",[],"{'question_type': 'simple', 'seed_document_id': 218, 'topic': 'قانون العمل'}",الحد الأدنى للعمر لتشغيل الأشخاص في المناجم أو المحاجر هو الثامنة عشرة من العمر وفقًا للمادة السادسة والثمانين بعد المائة.,True,0.49999999995,0.6666666666666666,0.8204050519312345,1.0,
ما هو الالتزام الذي يجب على صاحب العمل القيام به تجاه العمال المعرضين للأمراض المهنية وفقًا للمادة الثالثة والأربعين بعد المائة؟,يجب على صاحب العمل أن يعهد إلى طبيب أو أكثر بفحص العمال المعرضين لاحتمال الإصابة بأحد الأمراض المهنية فحصاً شاملاً مرة كل سنة على الأقل، وأن يثبت نتيجة ذلك الفحص في سجلاته وملفات العمال.,"Document 171: content: على كل صاحب عمل أن يعهد إلى طبيب أو أكثر بفحص عماله المعرضين لاحتمال الإصابة بأحد الأمراض المهنية المحددة في جداول الأمراض المهنية -
المنصوص عليها في نظام التأمينات الاجتماعية - فحصاً شاملاً مرة كل سنة على الأقل، وأن يثبت نتيجة ذلك الفحص في سجلاته، وكذلك في ملفات أولئك
العمال.
فصل: الفصل الرابع:الخدمات الصحية والاجتماعية
مادة: المادة الثالثة والأربعون بعد المائة:",[],"{'question_type': 'simple', 'seed_document_id': 171, 'topic': 'قانون العمل'}",صاحب العمل ملزم بتقديم العلاج للعامل الذي يصاب بمرض مهني أو إصابة عمل، ويتحمل جميع النفقات اللازمة لذلك، سواء كانت مباشرة أو غير مباشرة. هذه النفقات تشمل الإقامة في المستشفى، الفحوص والتحاليل الطبية، الأشعة، الأجهزة التعويضية، ونفقات الانتقال إلى أماكن العلاج.,False,0.0,1.0,0.6254159641743372,0.0,"The agent provided information about the employer's obligation to cover medical expenses for workers with occupational diseases, but the reference answer specifies that the employer must have workers examined by a doctor at least once a year and record the results."
ماذا يحدث لأجر البحار إذا تم اختصار السفر لأي سبب؟,إذا اختصر السفر لأي سبب من الأسباب، سواء كان ذلك اختيارياً أم قهرياً، فلا يترتب على ذلك نقص أجر البحار المشتغل بعقد عمل بحري، لمدة رحلة بحرية واحدة.,"Document 206: content: إذا اختصر السفر لأي سبب من الأسباب، سواء كان ذلك اختيارياً أم قهرياً، فلا يترتب على ذلك نقص أجر البحار المشتغل بعقد عمل بحري، لمدة رحلة بحرية واحدة.
فصل: None
مادة: المادة الخامسة والسبعون بعد المائة:",[],"{'question_type': 'simple', 'seed_document_id': 206, 'topic': 'قانون العمل البحري'}",إذا تم اختصار السفر لأي سبب، سواء كان ذلك اختيارياً أم قهرياً، فلا يترتب على ذلك نقص في أجر البحار المشتغل بعقد عمل بحري، لمدة رحلة بحرية واحدة.,True,0.9999999999,1.0,0.7193045664154821,1.0,
ما هي الأعمال التي لا يجوز تشغيل الأحداث فيها وفقًا للمادة الحادية والستين بعد المائة؟,لا يجوز تشغيل الأحداث في الأعمال الخطرة أو الصناعات الضارة، أو في المهن والأعمال التي يحتمل أن تعرض صحتهم أو سلامتهم أو أخلاقهم للخطر، بسبب طبيعتها أو الظروف التي تؤدى فيها.,"Document 191: content: لا يجوز تشغيل الأحداث في الأعمال الخطرة أو الصناعات الضارة، أو في المهن والأعمال التي يحتمل أن تعرض صحتهم أو سلامتهم أو أخلاقهم للخطر، بسبب طبيعتها أو الظروف التي تؤدى فيها. ويحدد الوزير بقرار منه الأعمال والصناعات والمهن المشار إليها.
فصل: None
مادة: المادة الحادية والستون بعد المائة:",[],"{'question_type': 'simple', 'seed_document_id': 191, 'topic': 'قانون العمل'}",الأحداث لا يجوز تشغيلهم في الأعمال الخطرة أو الصناعات الضارة، أو في المهن والأعمال التي يحتمل أن تعرض صحتهم أو سلامتهم أو أخلاقهم للخطر، بسبب طبيعتها أو الظروف التي تؤدى فيها. الأعمال والصناعات والمهن المحظورة على الأحداث تحدد بقرار من الوزير.,True,0.249999999975,1.0,0.5353898583544723,1.0,
ما هو عنوان الفصل المذكور في السياق؟,التعريفات والأحكام العامة,"Document 0: content: ---
فصل: التعريفات والأحكام العامة
مادة: None",[],"{'question_type': 'simple', 'seed_document_id': 0, 'topic': 'نظام العمل'}",السياق المذكور لا يوضح عنوان الفصل المرجعي. يتم التركيز على تفاصيل العقود البحرية والأحكام المتعلقة بها في القانون السعودي، ولكن لا يتم توضيح الفصل المحدد الذي تم الرجوع إليه.,False,0.49999999995,1.0,0.0,0.0,"The agent stated that the context does not specify the chapter title, but the reference answer indicates it is 'التعريفات والأحكام العامة'."
ما هو الهدف من إعداد العمال السعوديين وتحسين مستواهم وفق المادة الثانية والأربعون؟,الهدف هو إحلال العمال السعوديين تدريجياً في الأعمال التي يقوم بها غير السعوديين.,"Document 52: content: على كل صاحب عمل إعداد عماله السعوديين، وتحسين مستواهم في الأعمال الفنية والإدارية والمهنية وغيرها، بهدف إحلالهم تدريجياً في الأعمال التي يقوم بها غير السعوديين. وعليه أن يعد سجلاً يقيد فيه أسماء العمال السعوديين الذين أحلهم محل غير السعوديين بحسب الشروط والقواعد التي تحددها اللائحة.
فصل: الفصل الأول: التدريب والتأهيل للعاملين لدى صاحب العمل
مادة: المادة الثانية والأربعون:",[],"{'question_type': 'simple', 'seed_document_id': 52, 'topic': 'قانون العمل'}",الهدف من إعداد العمال السعوديين وتحسين مستواهم هو إحلالهم تدريجياً في الأعمال التي يقوم بها غير السعوديين. هذا يعني تعزيز التوطين وتحسين الكفاءات الوطنية في الأعمال الفنية والإدارية والمهنية وغيرها.,True,0.9999999999666667,0.75,0.9323051147395435,1.0,
ما هي حقوق المرأة العاملة بخصوص فترة الإرضاع بعد إجازة الوضع حسب المادة الرابعة والخمسون بعد المائة؟,يحق للمرأة العاملة عندما تعود إلى مزاولة عملها بعد إجازة الوضع أن تأخذ بقصد إرضاع مولودها فترة أو فترات للاستراحة لا تزيد في مجموعها على الساعة في اليوم الواحد، وذلك علاوة على فترات الراحة الممنوحة لجميع العمال، وتحسب هذه الفترة أو الفترات من ساعات العمل الفعلية، ولا يترتب عليها تخفيض الأجر.,"Document 183: content: يحق للمرأة العاملة عندما تعود إلى مزاولة عملها بعد إجازة الوضع أن تأخذ بقصد إرضاع مولودها فترة أو فترات للاستراحة لا تزيد في مجموعها على الساعة في اليوم الواحد، وذلك علاوة على فترات الراحة الممنوحة لجميع العمال، وتحسب هذه الفترة أو الفترات من ساعات العمل الفعلية، ولا يترتب عليها تخفيض الأجر.
فصل: None
مادة: المادة الرابعة والخمسون بعد المائة:",[],"{'question_type': 'simple', 'seed_document_id': 183, 'topic': 'قانون العمل'}",آسف، لكن المعلومات المتاحة لا تتضمن تفاصيل حول حقوق المرأة العاملة بخصوص فترة الإرضاع بعد إجازة الوضع حسب المادة الرابعة والخمسون بعد المائة.,False,0.0,1.0,0.0,0.0,"The agent stated that it does not have information on the rights of working women regarding breastfeeding periods after maternity leave according to Article 154, but the reference answer provides specific details about these rights."
ما الشرط الأساسي للاستقدام بقصد العمل وفقًا للمادة الثانية والثلاثون؟,لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة.,"Document 41: content: لا يجوز الاستقدام بقصد العمل إلا بعد موافقة الوزارة.
فصل: None
مادة: المادة الثانية والثلاثون:",[],"{'question_type': 'simple', 'seed_document_id': 41, 'topic': 'قانون العمل'}",آسف، لكن المعلومات المقدمة لا تتضمن تفاصيل حول المادة الثانية والثلاثون من القانون السعودي للعمل. لذا، لا يمكنني تقديم إجابة محددة على سؤالك.,False,0.0,0.5,0.0,0.0,"The agent stated that it cannot provide an answer due to lack of information, but the reference answer specifies that the essential condition is obtaining approval from the ministry."
ما هي المعلومات التي يجب أن يحتوي عليها عقد العمل البحري وفقًا للمادة الحادية والسبعون بعد المائة؟,يجب أن ينص في عقد العمل البحري على تاريخ إبرامه ومكانه، واسم المجهز، واسم البحار ولقبه وسنه وجنسيته وموطنه، ونوع العمل المكلف به، وكيفية أدائه، والشهادة التي تتيح له العمل في الملاحة البحرية، والتذكرة الشخصية البحرية، ومقدار الأجر، ومدة العقد. إذا كان العقد لسفرة واحدة فيجب تحديد المدينة أو المرفأ البحري الذي تنتهي عنده الرحلة، وفي أي مرحلة من مراحل تفريغ السفينة أو تحميلها في هذا المرفأ ينتهي العمل، وغير ذلك من تفاصيل العقد.,"Document 202: content: يجب أن ينص في عقد العمل البحري على تاريخ إبرامه ومكانه، واسم المجهز، واسم البحار ولقبه وسنه وجنسيته وموطنه، ونوع العمل المكلف به، وكيفية أدائه، والشهادة التي تتيح له العمل في الملاحة البحرية، والتذكرة الشخصية البحرية، ومقدار الأجر، ومدة العقد، أما إذا كان العقد لسفرة واحدة فيجب تحديد المدينة أو المرفأ البحري الذي تنتهي عنده الرحلة، وفي أي مرحلة من مراحل تفريغ السفينة أو تحميلها في هذا المرفأ ينتهي العمل، وغير ذلك من تفاصيل العقد.
ويكون العقد من ثلاث نسخ نسخة لمجهز السفينة ونسخة للربان للاحتفاظ بها على ظهر السفينة ونسخة للبحار.
فصل: None
مادة: المادة الحادية والسبعون بعد المائة:",[],"{'question_type': 'simple', 'seed_document_id': 202, 'topic': 'قانون العمل البحري'}",عقد العمل البحري يجب أن يحتوي على تاريخ ومكان الإبرام، اسم المجهز، اسم البحار ولقبه وسنه وجنسيته وموطنه، نوع العمل المكلف به وكيفية أدائه، الشهادة التي تتيح له العمل في الملاحة البحرية، التذكرة الشخصية البحرية، مقدار الأجر، مدة العقد، وإذا كان العقد لسفرة واحدة يجب تحديد المدينة أو المرفأ البحري الذي تنتهي عنده الرحلة وفي أي مرحلة من مراحل تفريغ السفينة أو تحميلها في هذا المرفأ ينتهي العمل.,True,0.49999999995,1.0,0.7174044387265693,1.0,
ما هي المعلومات المتوفرة في الفقرات المقدمة؟,لا تحتوي الفقرات المقدمة على أي معلومات مفصلة أو محتوى يمكن استنباطه، حيث أن جميع الفقرات تحتوي على 'None' للفصل والمادة.,"Document 190: content: 
فصل: None
مادة: None

Document 243: content: 
فصل: None
مادة: None

Document 263: content: 
فصل: None
مادة: None

Document 278: content: 
فصل: None
مادة: None",[],"{'question_type': 'simple', 'seed_document_id': 243, 'topic': 'نظام العمل'}",الفقرات المقدمة تتضمن معلومات حول القواعد والإجراءات المتعلقة بقانون العمل في المملكة العربية السعودية. تشمل هذه القواعد الإلزامية على أصحاب العمل بتقديم معلومات محددة إلى مكتب العمل المختص، مثل الأعمال الشاغرة والمستحدثة، والإشعارات حول توظيف المواطنين، وبيانات عن العمال ووظائفهم. كما تتضمن القواعد تفاصيل حول العقد القياسي للعمل الذي يجب أن يتبعه أصحاب العمل. وأخيراً، تشير الفقرات إلى الإجراءات التي يجب اتباعها عند بدء العمل في أي منشأة.,False,0.9999999999,1.0,0.5616415552078435,0.0,"The agent provided detailed information about labor law procedures in Saudi Arabia, but the reference answer indicates that the paragraphs contain no detailed information and are marked as 'None'."
