question,reference_answer,reference_context,conversation_history,metadata,agent_answer,correctness,correctness_reason,RAGAS Context Precision,RAGAS Faithfulness,RAGAS Answer Relevancy,RAGAS Context Recall
ما هي الحالات التي ينتهي فيها عقد العمل وفقًا للسياق المذكور؟,ينتهي عقد العمل بوفاة العامل أو بعجزه عن أداء عمله، وذلك بموجب شهادة طبية معتمدة من الجهات الصحية المخولة أو من الطبيب المخول الذي يعينه صاحب العمل.,"Document 94: content: لا ينقضي عقد العمل بوفاة صاحب العمل، ما لم تكن شخصيته قد روعيت في إبرام العقد ولكنه ينتهي بوفاة العامل أو بعجزه عن أداء عمله، وذلك بموجب شهادة طبية معتمدة من الجهات الصحية المخولة أو من الطبيب المخول الذي يعينه صاحب العمل.
باب: الباب الخامس: علاقات العمل
فصل: الفصل الثالث: انتهاء عقد العمل",[],"{'question_type': 'simple', 'seed_document_id': 94, 'topic': 'قانون العمل السعودي'}","هناك 8 حالات يمكن أن تنتهي عقد العمل في Saudi Arabia، وهي:

1. اتفاق الطرفان على إنهاء العقد.
2. انتهاء المدة المحددة في العقد.
3. بناء على إرادة أحد الطرفين في العقود غير المحددة المدة.
4. بلوغ العامل سن التقاعد.
5. القوة القاهرة.
6. إغلاق المنشأة نهائياً.
7. إنهاء النشاط الذي يعمل فيه العامل.
8. حالة أخرى ينص عليها نظام آخر.",False,"The agent provided a list of general cases for ending a work contract in Saudi Arabia, but did not mention the specific cases of the worker's death or incapacity as stated in the reference answer.",0.0,1.0,0.4887560296199432,0.0
ما هو دور الوزارة في تحديد المنشآت ذات المخاطر الكبرى؟,"تضع الوزارة ضوابط لتحديد ""المنشآت ذات المخاطر الكبرى"" استناداً إلى قائمة المواد الخطرة، أو فئات هذه المواد أو كلتيهما.","Document 154: content: تضع الوزارة ضوابط لتحديد ""المنشآت ذات المخاطر الكبرى"" استناداً إلى قائمة المواد الخطرة، أو فئات هذه المواد أو كلتيهما.
باب: الباب الثامن: الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخدمات الصحية والاجتماعية
فصل: الفصل الثاني:الوقاية من الحوادث الصناعية الكبرى",[],"{'question_type': 'simple', 'seed_document_id': 154, 'topic': 'السلامة والصحة المهنية'}","تضع الوزارة ضوابط لتحديد ""المنشآت ذات المخاطر الكبرى"" استناداً إلى قائمة المواد الخطرة، أو فئات هذه المواد أو كلتيهما. وينطوي هذا الدور على تحديد المنشآت التي تتعرض للخطر من التلوث البيئي والصحة العامة. وتساعد هذه الضوابط في حماية العمال والمجتمع من الآثار السلبية للمنشآت ذات المخاطر الكبرى.",True,,0.9999999999,0.5,0.760799550776114,1.0
ما هي العناصر الأساسية التي يجب أن يحتوي عليها عقد العمل وفقاً للنظام السعودي؟,يجب أن يحتوي عقد العمل على: اسم صاحب العمل ومكانه، واسم العامل وجنسيته، وما يلزم لإثبات شخصيته، وعنوان إقامته، والأجر المتفق عليه بما في ذلك المزايا والبدلات، ونوع العمل ومكانه، وتاريخ الالتحاق به، ومدته إن كان محدد المدة.,"Document 65: content: 1. مع مراعاة ما ورد في المادة (السابعة والثلاثين) من هذا النظام، تضع الوزارة نموذجاً موحداً لعقد العمل، يحتوي بصورة أساسية على: اسم صاحب العمل ومكانه، واسم العامل وجنسيته، وما يلزم لإثبات شخصيته، وعنوان إقامته، والأجر المتفق عليه بما في ذلك المزايا والبدلات، ونوع العمل ومكانه، وتاريخ الالتحاق به، ومدته إن كان محدد المدة.
2. يجب أن يكون عقد العمل وفق النموذج المشار إليه في الفقرة (1) من هذه المادة، ولطرفي العقد أن يضيفا إليه بنوداً أخرى، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له.
باب: الباب الخامس: علاقات العمل
فصل: الفصل الأول: عقد العمل",[],"{'question_type': 'simple', 'seed_document_id': 65, 'topic': 'قانون العمل السعودي'}","وفقاً للنظام السعودي، يجب أن يحتوي عقد العمل على العناصر التالية:

1. وصف الوظيفة أو المهام.
2. المدة الزمنية للعقد.
3. الأجر والشروط المالية.
4. الشروط التي تؤدي إلى انتهاء العقد.
5. شروط الإلغاء أو النقض.
6. شروط التأجير أو الإيجار.
7. شروط الاستئجار أو الإيجار.

يجب أن تكون هذه العناصر rõة وواضحة في عقد العمل، وتحقق احتياجات الطرفين المشاركين في العقد.",False,"The agent provided a list of elements that are not specific to the Saudi labor system and missed key elements such as the name of the employer, the worker's nationality, and other specific details required by the Saudi system.",0.0,0.0,0.8695312068752045,0.0
ما المقصود بالعمل في المناجم والمحاجر وفقًا للمادة المقدمة؟,العمل في المناجم والمحاجر يشمل العمليات الخاصة بالبحث أو الكشف عن المواد المعدنية، بما في ذلك الأحجار الكريمة، أو استخراجها، أو تصنيعها بالمنطقة الصادر عنها الترخيص، سواء أكانت المعادن صلبة أم سائلة، بالإضافة إلى العمليات الخاصة باستخراج رواسب المواد المعدنية الموجودة على سطح الأرض أو في باطنها، أو تركيزها، أو تصنيعها في منطقة الترخيص، وما يلحق بهذه العمليات من أعمال البناء وإقامة التركيبات والأجهزة.,"Document 217: content: يقصد بالعمل في المناجم والمحاجر الآتي:-
1. العمليات الخاصة بالبحث، أو الكشف عن المواد المعدنية، بما في ذلك الأحجار الكريمة، أو استخراجها، أو تصنيعها بالمنطقة الصادر عنها الترخيص، سواء أكانت المعادن صلبة أم سائلة.
2. العمليات الخاصة باستخراج رواسب المواد المعدنية الموجودة على سطح الأرض أو في باطنها، أو تركيزها، أو تصنيعها في منطقة الترخيص.
3. ما يلحق بالعمليات المشار إليها في الفقرتين 1-2 من هذه المادة من أعمال البناء وإقامة التركيبات والأجهزة.
باب: الباب الثاني عشر: العمل في المناجم والمحاجر
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 217, 'topic': 'قانون العمل السعودي'}","يُشير مصطلح ""المناجم والمحاجر"" إلى الأنشطة التي تتعلق ببحث، كشف، استخراج، تصنيع، تركيز، أو تصنيع المواد المعدنية، سواء كانت صلبة أو سائلة.",False,"The agent provided a general definition of mining and quarrying activities, but the reference answer includes specific details about the scope of work, including the extraction and processing of minerals and related construction activities.",0.9999999999,0.875,0.5161447492215223,1.0
ما هي المدة الزمنية المحددة لتقديم تقرير تفتيش العمل السنوي في المملكة؟,مدة لا تتجاوز مائة وثمانين يوماً من نهاية العام.,"Document 239: content: يقدم وكيل الوزارة للشؤون العمالية تقريراً سنوياً شاملاً عن تفتيش العمل في المملكة، وذلك خلال مدة لا تتجاوز مائة وثمانين يوماً من نهاية العام، يتناول كل ما يتعلق برقابة الوزارة على تنفيذ أحكام نظام العمل.
ويشمل التقرير على الأخص ما يأتي:
1. بياناً بالأحكام المنظمة للتفتيش.
2. بياناً بالموظفين المختصين بالتفتيش.
3. إحصاءات بالمنشآت الخاضعة للتفتيش وعدد العمال فيها.
4. إحصاءات عن زيارات المفتشين وجولاتهم.
5. إحصاءات عن المخالفات التي وقعت، والجزاءات التي حكم بها.
6. إحصاءات عن إصابات العمل.
7. إحصاءات عن أمراض المهن.
باب: الباب الثالث عشر: تفتيش العمل
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 239, 'topic': 'تفتيش العمل'}",لا أجد المعلومات الصحيحة حول مدة تقديم تقرير التفتيش العمل السنوي في المملكة.,False,"The agent stated that it couldn't find the information, but the correct answer is that the report should be submitted within 180 days from the end of the year.",0.9999999999,0.0,0.0,1.0
ما هي مسؤولية صاحب العمل تجاه الحوادث التي تصيب أشخاصًا غير عماله في أماكن العمل؟,صاحب العمل مسؤول عن الطوارئ والحوادث التي يصاب بها أشخاص آخرون غير عماله، ممن يدخلون أماكن العمل بحكم الوظيفة، أو بموافقة صاحب العمل أو وكلائه، إذا كانت بسبب إهمال اتخاذ الاحتياطات الفنية التي يتطلبها نوع عمله. وعليه أن يعوضهم عما يصيبهم من عطل وضرر حسب الأنظمة العامة.,"Document 150: content: صاحب العمل مسؤول عن الطوارئ والحوادث التي يصاب بها أشخاص آخرون غير عماله، ممن يدخلون أماكن العمل بحكم الوظيفة، أو بموافقة صاحب
العمل أو وكلائه، إذا كانت بسبب إهمال اتخاذ الاحتياطات الفنية التي يتطلبها نوع عمله. وعليه أن يعوضهم عما يصيبهم من عطل وضرر حسب الأنظمة
العامة.
باب: الباب الثامن: الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخدمات الصحية والاجتماعية
فصل: الفصل الأول:الوقاية من مخاطر العمل",[],"{'question_type': 'simple', 'seed_document_id': 150, 'topic': 'السلامة والصحة المهنية'}",يجب على صاحب العمل أن يكون مسؤولاً عن الطوارئ والحوادث التي يصاب بها أشخاص آخرون غير عمله، ممن يدخلون أماكن العمل بحكم الوظيفة، أو بموافقة صاحب العمل أو وكلائه. إذا كانت هذه الحوادث نتيجة لإهمال اتخاذ الاحتياطات الفنية التي يتطلبها نوع عمله، فلازم يعوضهم عما يصيبهم من عطل وضرر حسب الأنظمة العامة.,True,,0.9999999999,0.875,0.7543727554413365,1.0
ما هي الشروط المطلوبة لمفتش العمل عند ممارسته لعمله في السعودية؟,يشترط في مفتش العمل عند ممارسته لعمله أن يكون متصفاً بالحياد التام، وألا تكون له أي صلة مباشرة أو غير مباشرة بالمنشآت التي يقوم بتفتيشها، وأن يكون قد اجتاز فحصاً مسلكياً بعد قضائه فترة تدريب لا تقل عن تسعين يوماً.,"Document 228: content: يشترط في مفتش العمل عند ممارسته لعمله - بالإضافة إلى الشروط العامة في تعيين الموظفين - ما يأتي:
1. أن يكون متصفاً بالحياد التام.
2. ألا تكون له أي صلة مباشرة، أو غير مباشرة، بالمنشآت التي يقوم بتفتيشها.
3. أن يكون قد اجتاز فحصاً مسلكياً بعد قضائه فترة تدريب لا تقل عن تسعين يوماً.
باب: الباب الثالث عشر: تفتيش العمل
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 228, 'topic': 'تفتيش العمل'}",لا أجد أي معلومات حول شروط مخصصة لمفتش العمل عند ممارسته عمله في السعودية.,False,"The agent stated that it couldn't find any information about the conditions for a labor inspector in Saudi Arabia, but the reference answer provides specific conditions that should have been mentioned.",0.0,1.0,0.0,0.0
ما هي صلاحيات مفتشي العمل في السعودية وفقاً لنظام العمل؟,يحق لمفتشي العمل دخول أي منشأة خاضعة لأحكام نظام العمل في أي وقت دون إشعار سابق، القيام بأي فحص أو تحقيق لازم للتحقق من سلامة تنفيذ النظام، سؤال صاحب العمل أو العمال عن أي أمر متعلق بتنفيذ أحكام النظام، الاطلاع على الدفاتر والسجلات والوثائق، وأخذ عينات من المواد المستعملة لتحليلها في المختبرات الحكومية.,"Document 231: content: يحق لمفتشي العمل:
1. دخول أي منشأة خاضعة لأحكام نظام العمل في أي وقت من أوقات النهار أو الليل، دون إشعار سابق.
2. القيام بأي فحص أو تحقيق لازم للتحقق من سلامة تنفيذ النظام. ولهم على الأخص ما يأتي:
أ. سؤال صاحب العمل أو من يمثله، أو العمال، على انفراد أو في حضور شهود، عن أي أمر من الأمور المتعلقة بتنفيذ أحكام النظام.
ب. الاطلاع على جميع الدفاتر والسجلات والوثائق الأخرى اللازم الاحتفاظ بها طبقاً لأحكام هذا النظام والقرارات الصادرة بمقتضاه، والحصول على صور ومستخرجات منها.
ج. أخذ عينة أو عينات من المواد المستعملة أو المتداولة في العمليات الصناعية وغيرها الخاضعة للتفتيش، مما يظن أن لها أثراً ضاراً على صحة العمال، أو سلامتهم، وذلك لغرض تحليلها في المختبرات الحكومية ومعرفة مدى هذا الأثر، مع إبلاغ صاحب العمل أو ممثله بذلك.
باب: الباب الثالث عشر: تفتيش العمل
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 231, 'topic': 'قانون العمل السعودي'}",تتولى مفتشي العمل في السعودية صلاحية التفتيش على workplaces، وتحددهم الوزير أو من يفوضه، ويتمتعون باختصاصات وصلاحيات محددة.,False,"The agent provided a vague answer about the authority of labor inspectors without detailing their specific powers, such as entering establishments, conducting inspections, questioning employers or workers, reviewing documents, and taking samples, as mentioned in the reference answer.",0.0,1.0,0.7191620565535626,0.0
ما هي الحقوق المالية للمصاب في حالة عجزه المؤقت عن العمل بسبب إصابة عمل؟,للمصاب الحق في معونة مالية تعادل أجره كاملاً لمدة ستين يوماً ثم يستحق مقابلاً مالياً يعادل (75%) من أجره طوال المدة التي يستغرقها علاجه.,"Document 164: content: للمصاب - في حالة عجزه المؤقت عن العمل الناتج من إصابة عمل - الحق في معونة مالية تعادل أجره كاملاً لمدة ستين يوماً ثم يستحق مقابلاً مالياً يعادل
(75%) من أجره طوال المدة التي يستغرقها علاجه. فإذا بلغت مدة العلاج سنة أو تقرر طبياً عدم احتمال شفائه وحالته الصحية لا تمكنه من العمل، عدت
الإصابة عجزاً كلياً، وينهى العقد ويعوض عن الإصابة. ولا يكون لصاحب العمل حق في استرداد ما دفعه إلى المصاب خلال تلك السنة.
باب: الباب الثامن: الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخدمات الصحية والاجتماعية
فصل: الفصل الثالث: إصابات العمل",[],"{'question_type': 'simple', 'seed_document_id': 164, 'topic': 'السلامة والصحة المهنية'}",في حالة عجزه المؤقت عن العمل الناتج من إصابة عمل، يتعين على صاحب العمل تعويض المصاب بمعونة مالية تعادل 75% من أجره طوال المدة التي يستغرقها علاجه.,False,"The agent stated that the injured worker receives 75% of their wage for the entire treatment period, but should have mentioned that they receive full wage for the first sixty days, then 75% thereafter.",0.9999999999,0.75,0.6355019700587455,1.0
ما هي المدة القصوى لغياب العاملة بسبب المرض الناشئ عن إجازة الوضع في السنة؟,ألا تتجاوز مدة غيابها (مائة وثمانين) يوماً في السنة سواء أكانت متصلة أم متفرقة.,"Document 184: content: لا يجوز لصاحب العمل فصل العاملة أو إنذارها بالفصل أثناء تمتعها بإجازة الوضع، ويشمل ذلك مدة مرضها الناشئ عن أي منهما، على أن يثبت المرض بشهادة طبية معتمدة، وألا تتجاوز مدة غيابها (مائة وثمانين) يوماً في السنة سواء أكانت متصلة أم متفرقة.
باب: الباب التاسع: تشغيل النساء
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 184, 'topic': 'قانون العمل السعودي'}",المدة القصوى لغياب العاملة بسبب المرض الناشئ عن إجازة الوضع في السنة لا تتجاوز 160 يوماً.,False,"The agent stated that the maximum duration of absence is 160 days, but it should have said 180 days.",0.9999999999,0.0,1.0000000000000002,1.0
