question,reference_answer,reference_context,conversation_history,metadata,agent_answer,correctness,correctness_reason,RAGAS Context Precision,RAGAS Faithfulness,RAGAS Answer Relevancy,RAGAS Context Recall
ما هي الحالات التي ينتهي فيها عقد العمل وفقًا للسياق المذكور؟,ينتهي عقد العمل بوفاة العامل أو بعجزه عن أداء عمله، وذلك بموجب شهادة طبية معتمدة من الجهات الصحية المخولة أو من الطبيب المخول الذي يعينه صاحب العمل.,"Document 94: content: لا ينقضي عقد العمل بوفاة صاحب العمل، ما لم تكن شخصيته قد روعيت في إبرام العقد ولكنه ينتهي بوفاة العامل أو بعجزه عن أداء عمله، وذلك بموجب شهادة طبية معتمدة من الجهات الصحية المخولة أو من الطبيب المخول الذي يعينه صاحب العمل.
باب: الباب الخامس: علاقات العمل
فصل: الفصل الثالث: انتهاء عقد العمل",[],"{'question_type': 'simple', 'seed_document_id': 94, 'topic': 'قانون العمل السعودي'}",عقد العمل ينتهي في الحالات التالية: إذا اتفق الطرفان على إنهائه بموافقة العامل الكتابية، إذا انتهت المدة المحددة في العقد، بناء على إرادة أحد الطرفين في العقود غير المحددة المدة، بلوغ العامل سن التقاعد، القوة القاهرة، إغلاق المنشأة نهائياً، إنهاء النشاط الذي يعمل فيه العامل، أو أي حالة أخرى ينص عليها نظام آخر. إذا كان العقد من أجل القيام بعمل معين، فينتهي بإنجاز العمل المتفق عليه.,False,"The agent provided a list of general conditions under which a work contract may end, but did not include the specific conditions mentioned in the reference answer, such as the death of the worker or their inability to perform work due to medical reasons.",0.0,1.0,0.7265255135679487,0.0
ما هو دور الوزارة في تحديد المنشآت ذات المخاطر الكبرى؟,"تضع الوزارة ضوابط لتحديد ""المنشآت ذات المخاطر الكبرى"" استناداً إلى قائمة المواد الخطرة، أو فئات هذه المواد أو كلتيهما.","Document 154: content: تضع الوزارة ضوابط لتحديد ""المنشآت ذات المخاطر الكبرى"" استناداً إلى قائمة المواد الخطرة، أو فئات هذه المواد أو كلتيهما.
باب: الباب الثامن: الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخدمات الصحية والاجتماعية
فصل: الفصل الثاني:الوقاية من الحوادث الصناعية الكبرى",[],"{'question_type': 'simple', 'seed_document_id': 154, 'topic': 'السلامة والصحة المهنية'}","تضع الوزارة ضوابط لتحديد ""المنشآت ذات المخاطر الكبرى"" استناداً إلى قائمة المواد الخطرة، أو فئات هذه المواد أو كلتيهما. الوزير يصدر اللوائح والقرارات التي تتضمن الترتيبات اللازمة على مستوى المنشأة للوقاية من المخاطر الكبرى، وواجبات أصحاب العمل في هذا الخصوص. هذه الأحكام تطبق على المنشآت ذات المخاطر الكبرى.",False,"The agent provided additional information about the minister issuing regulations and the application of these rules, which was not part of the reference answer. The reference answer was more concise and focused only on the criteria for determining high-risk establishments.",0.99999999995,1.0,0.6471182688401934,1.0
ما هي العناصر الأساسية التي يجب أن يحتوي عليها عقد العمل وفقاً للنظام السعودي؟,يجب أن يحتوي عقد العمل على: اسم صاحب العمل ومكانه، واسم العامل وجنسيته، وما يلزم لإثبات شخصيته، وعنوان إقامته، والأجر المتفق عليه بما في ذلك المزايا والبدلات، ونوع العمل ومكانه، وتاريخ الالتحاق به، ومدته إن كان محدد المدة.,"Document 65: content: 1. مع مراعاة ما ورد في المادة (السابعة والثلاثين) من هذا النظام، تضع الوزارة نموذجاً موحداً لعقد العمل، يحتوي بصورة أساسية على: اسم صاحب العمل ومكانه، واسم العامل وجنسيته، وما يلزم لإثبات شخصيته، وعنوان إقامته، والأجر المتفق عليه بما في ذلك المزايا والبدلات، ونوع العمل ومكانه، وتاريخ الالتحاق به، ومدته إن كان محدد المدة.
2. يجب أن يكون عقد العمل وفق النموذج المشار إليه في الفقرة (1) من هذه المادة، ولطرفي العقد أن يضيفا إليه بنوداً أخرى، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له.
باب: الباب الخامس: علاقات العمل
فصل: الفصل الأول: عقد العمل",[],"{'question_type': 'simple', 'seed_document_id': 65, 'topic': 'قانون العمل السعودي'}",وفقاً للنظام السعودي، يجب أن يحتوي عقد العمل بشكل أساسي على: اسم صاحب العمل ومكانه، واسم العامل وجنسيته، وما يلزم لإثبات شخصيته، وعنوان إقامته، والأجر المتفق عليه بما في ذلك المزايا والبدلات، ونوع العمل ومكانه، وتاريخ الالتحاق به، ومدته إن كان محدد المدة.,True,,0.49999999995,1.0,0.9277817960414678,1.0
ما المقصود بالعمل في المناجم والمحاجر وفقًا للمادة المقدمة؟,العمل في المناجم والمحاجر يشمل العمليات الخاصة بالبحث أو الكشف عن المواد المعدنية، بما في ذلك الأحجار الكريمة، أو استخراجها، أو تصنيعها بالمنطقة الصادر عنها الترخيص، سواء أكانت المعادن صلبة أم سائلة، بالإضافة إلى العمليات الخاصة باستخراج رواسب المواد المعدنية الموجودة على سطح الأرض أو في باطنها، أو تركيزها، أو تصنيعها في منطقة الترخيص، وما يلحق بهذه العمليات من أعمال البناء وإقامة التركيبات والأجهزة.,"Document 217: content: يقصد بالعمل في المناجم والمحاجر الآتي:-
1. العمليات الخاصة بالبحث، أو الكشف عن المواد المعدنية، بما في ذلك الأحجار الكريمة، أو استخراجها، أو تصنيعها بالمنطقة الصادر عنها الترخيص، سواء أكانت المعادن صلبة أم سائلة.
2. العمليات الخاصة باستخراج رواسب المواد المعدنية الموجودة على سطح الأرض أو في باطنها، أو تركيزها، أو تصنيعها في منطقة الترخيص.
3. ما يلحق بالعمليات المشار إليها في الفقرتين 1-2 من هذه المادة من أعمال البناء وإقامة التركيبات والأجهزة.
باب: الباب الثاني عشر: العمل في المناجم والمحاجر
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 217, 'topic': 'قانون العمل السعودي'}",العمل في المناجم والمحاجر يشمل العمليات الخاصة بالبحث أو الكشف عن المواد المعدنية، بما في ذلك الأحجار الكريمة، أو استخراجها، أو تصنيعها بالمنطقة الصادر عنها الترخيص. يشمل أيضا العمليات الخاصة باستخراج رواسب المواد المعدنية الموجودة على سطح الأرض أو في باطنها، أو تركيزها، أو تصنيعها في منطقة الترخيص. وأخيرا، يشمل أيضا الأعمال البناء وإقامة التركيبات والأجهزة المرتبطة بالعمليات المذكورة.,False,"The agent's answer is missing the detail that the materials can be solid or liquid, which is included in the reference answer.",0.9999999999,1.0,0.7461626891879284,1.0
ما هي المدة الزمنية المحددة لتقديم تقرير تفتيش العمل السنوي في المملكة؟,مدة لا تتجاوز مائة وثمانين يوماً من نهاية العام.,"Document 239: content: يقدم وكيل الوزارة للشؤون العمالية تقريراً سنوياً شاملاً عن تفتيش العمل في المملكة، وذلك خلال مدة لا تتجاوز مائة وثمانين يوماً من نهاية العام، يتناول كل ما يتعلق برقابة الوزارة على تنفيذ أحكام نظام العمل.
ويشمل التقرير على الأخص ما يأتي:
1. بياناً بالأحكام المنظمة للتفتيش.
2. بياناً بالموظفين المختصين بالتفتيش.
3. إحصاءات بالمنشآت الخاضعة للتفتيش وعدد العمال فيها.
4. إحصاءات عن زيارات المفتشين وجولاتهم.
5. إحصاءات عن المخالفات التي وقعت، والجزاءات التي حكم بها.
6. إحصاءات عن إصابات العمل.
7. إحصاءات عن أمراض المهن.
باب: الباب الثالث عشر: تفتيش العمل
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 239, 'topic': 'تفتيش العمل'}",المدة الزمنية المحددة لتقديم تقرير تفتيش العمل السنوي في المملكة هي مائة وثمانين يوماً من نهاية العام.,True,,0.9999999999,1.0,1.0,1.0
ما هي مسؤولية صاحب العمل تجاه الحوادث التي تصيب أشخاصًا غير عماله في أماكن العمل؟,صاحب العمل مسؤول عن الطوارئ والحوادث التي يصاب بها أشخاص آخرون غير عماله، ممن يدخلون أماكن العمل بحكم الوظيفة، أو بموافقة صاحب العمل أو وكلائه، إذا كانت بسبب إهمال اتخاذ الاحتياطات الفنية التي يتطلبها نوع عمله. وعليه أن يعوضهم عما يصيبهم من عطل وضرر حسب الأنظمة العامة.,"Document 150: content: صاحب العمل مسؤول عن الطوارئ والحوادث التي يصاب بها أشخاص آخرون غير عماله، ممن يدخلون أماكن العمل بحكم الوظيفة، أو بموافقة صاحب
العمل أو وكلائه، إذا كانت بسبب إهمال اتخاذ الاحتياطات الفنية التي يتطلبها نوع عمله. وعليه أن يعوضهم عما يصيبهم من عطل وضرر حسب الأنظمة
العامة.
باب: الباب الثامن: الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخدمات الصحية والاجتماعية
فصل: الفصل الأول:الوقاية من مخاطر العمل",[],"{'question_type': 'simple', 'seed_document_id': 150, 'topic': 'السلامة والصحة المهنية'}",صاحب العمل مسؤول عن الحوادث التي يصاب بها أشخاص غير عماله في أماكن العمل إذا كانت بسبب إهماله في اتخاذ الاحتياطات الفنية المطلوبة. يجب عليه تعويض هؤلاء الأشخاص عما يصيبهم من عطل وضرر حسب الأنظمة العامة. هذا يشمل الأشخاص الذين يدخلون أماكن العمل بحكم الوظيفة أو بموافقة صاحب العمل أو وكلائه.,True,,0.9999999999,1.0,0.840198791505521,1.0
ما هي الشروط المطلوبة لمفتش العمل عند ممارسته لعمله في السعودية؟,يشترط في مفتش العمل عند ممارسته لعمله أن يكون متصفاً بالحياد التام، وألا تكون له أي صلة مباشرة أو غير مباشرة بالمنشآت التي يقوم بتفتيشها، وأن يكون قد اجتاز فحصاً مسلكياً بعد قضائه فترة تدريب لا تقل عن تسعين يوماً.,"Document 228: content: يشترط في مفتش العمل عند ممارسته لعمله - بالإضافة إلى الشروط العامة في تعيين الموظفين - ما يأتي:
1. أن يكون متصفاً بالحياد التام.
2. ألا تكون له أي صلة مباشرة، أو غير مباشرة، بالمنشآت التي يقوم بتفتيشها.
3. أن يكون قد اجتاز فحصاً مسلكياً بعد قضائه فترة تدريب لا تقل عن تسعين يوماً.
باب: الباب الثالث عشر: تفتيش العمل
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 228, 'topic': 'تفتيش العمل'}","الشروط المطلوبة لمفتش العمل في السعودية هي: 
1. يجب أن يكون متصفاً بالحياد التام.
2. لا يجب أن يكون له أي صلة مباشرة أو غير مباشرة بالمنشآت التي يقوم بتفتيشها.
3. يجب أن يكون قد اجتاز فحصاً مسلكياً بعد قضائه فترة تدريب لا تقل عن تسعين يوماً.",True,,0.49999999995,1.0,0.9495432321067505,1.0
ما هي صلاحيات مفتشي العمل في السعودية وفقاً لنظام العمل؟,يحق لمفتشي العمل دخول أي منشأة خاضعة لأحكام نظام العمل في أي وقت دون إشعار سابق، القيام بأي فحص أو تحقيق لازم للتحقق من سلامة تنفيذ النظام، سؤال صاحب العمل أو العمال عن أي أمر متعلق بتنفيذ أحكام النظام، الاطلاع على الدفاتر والسجلات والوثائق، وأخذ عينات من المواد المستعملة لتحليلها في المختبرات الحكومية.,"Document 231: content: يحق لمفتشي العمل:
1. دخول أي منشأة خاضعة لأحكام نظام العمل في أي وقت من أوقات النهار أو الليل، دون إشعار سابق.
2. القيام بأي فحص أو تحقيق لازم للتحقق من سلامة تنفيذ النظام. ولهم على الأخص ما يأتي:
أ. سؤال صاحب العمل أو من يمثله، أو العمال، على انفراد أو في حضور شهود، عن أي أمر من الأمور المتعلقة بتنفيذ أحكام النظام.
ب. الاطلاع على جميع الدفاتر والسجلات والوثائق الأخرى اللازم الاحتفاظ بها طبقاً لأحكام هذا النظام والقرارات الصادرة بمقتضاه، والحصول على صور ومستخرجات منها.
ج. أخذ عينة أو عينات من المواد المستعملة أو المتداولة في العمليات الصناعية وغيرها الخاضعة للتفتيش، مما يظن أن لها أثراً ضاراً على صحة العمال، أو سلامتهم، وذلك لغرض تحليلها في المختبرات الحكومية ومعرفة مدى هذا الأثر، مع إبلاغ صاحب العمل أو ممثله بذلك.
باب: الباب الثالث عشر: تفتيش العمل
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 231, 'topic': 'قانون العمل السعودي'}",مفتشو العمل في السعودية، الذين يمكن أن يكونوا موظفين في الوزارة أو غيرهم من السعوديين، يتم تحديدهم من قبل الوزير أو من يفوضه. لديهم الصلاحيات والاختصاصات المنصوص عليها في نظام العمل. لكن النص لا يوضح تفاصيل هذه الصلاحيات والاختصاصات.,False,"The agent stated that the text does not clarify the powers and competencies of labor inspectors, but it should have mentioned specific powers such as entering establishments, conducting inspections, questioning employers or workers, reviewing documents, and taking samples for analysis.",0.0,1.0,0.0,0.0
ما هي الحقوق المالية للمصاب في حالة عجزه المؤقت عن العمل بسبب إصابة عمل؟,للمصاب الحق في معونة مالية تعادل أجره كاملاً لمدة ستين يوماً ثم يستحق مقابلاً مالياً يعادل (75%) من أجره طوال المدة التي يستغرقها علاجه.,"Document 164: content: للمصاب - في حالة عجزه المؤقت عن العمل الناتج من إصابة عمل - الحق في معونة مالية تعادل أجره كاملاً لمدة ستين يوماً ثم يستحق مقابلاً مالياً يعادل
(75%) من أجره طوال المدة التي يستغرقها علاجه. فإذا بلغت مدة العلاج سنة أو تقرر طبياً عدم احتمال شفائه وحالته الصحية لا تمكنه من العمل، عدت
الإصابة عجزاً كلياً، وينهى العقد ويعوض عن الإصابة. ولا يكون لصاحب العمل حق في استرداد ما دفعه إلى المصاب خلال تلك السنة.
باب: الباب الثامن: الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخدمات الصحية والاجتماعية
فصل: الفصل الثالث: إصابات العمل",[],"{'question_type': 'simple', 'seed_document_id': 164, 'topic': 'السلامة والصحة المهنية'}",في حالة العجز المؤقت عن العمل بسبب إصابة عمل، يحق للمصاب الحصول على معونة مالية تعادل أجره كاملاً لمدة ستين يوماً. بعد هذه المدة، يستحق المصاب مقابلاً مالياً يعادل 75% من أجره طوال المدة التي يستغرقها علاجه. ولا يكون لصاحب العمل حق في استرداد ما دفعه إلى المصاب خلال تلك السنة.,True,,0.9999999999,1.0,0.6583119355784955,1.0
ما هي المدة القصوى لغياب العاملة بسبب المرض الناشئ عن إجازة الوضع في السنة؟,ألا تتجاوز مدة غيابها (مائة وثمانين) يوماً في السنة سواء أكانت متصلة أم متفرقة.,"Document 184: content: لا يجوز لصاحب العمل فصل العاملة أو إنذارها بالفصل أثناء تمتعها بإجازة الوضع، ويشمل ذلك مدة مرضها الناشئ عن أي منهما، على أن يثبت المرض بشهادة طبية معتمدة، وألا تتجاوز مدة غيابها (مائة وثمانين) يوماً في السنة سواء أكانت متصلة أم متفرقة.
باب: الباب التاسع: تشغيل النساء
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 184, 'topic': 'قانون العمل السعودي'}",المدة القصوى لغياب العاملة بسبب المرض الناشئ عن إجازة الوضع هي مائة وثمانين يوماً في السنة، سواء أكانت متصلة أم متفرقة.,True,,0.9999999999,1.0,0.9683368142762306,1.0
