question,reference_answer,reference_context,conversation_history,metadata,agent_answer,correctness,correctness_reason,RAGAS Context Precision,RAGAS Faithfulness,RAGAS Answer Relevancy,RAGAS Context Recall
ما هي الحالات التي ينتهي فيها عقد العمل وفقًا للسياق المذكور؟,ينتهي عقد العمل بوفاة العامل أو بعجزه عن أداء عمله، وذلك بموجب شهادة طبية معتمدة من الجهات الصحية المخولة أو من الطبيب المخول الذي يعينه صاحب العمل.,"Document 94: content: لا ينقضي عقد العمل بوفاة صاحب العمل، ما لم تكن شخصيته قد روعيت في إبرام العقد ولكنه ينتهي بوفاة العامل أو بعجزه عن أداء عمله، وذلك بموجب شهادة طبية معتمدة من الجهات الصحية المخولة أو من الطبيب المخول الذي يعينه صاحب العمل.
باب: الباب الخامس: علاقات العمل
فصل: الفصل الثالث: انتهاء عقد العمل",[],"{'question_type': 'simple', 'seed_document_id': 94, 'topic': 'قانون العمل السعودي'}",ينتهي عقد العمل في حالات التوقيع على إنهاء العقد، وإن انتهت المدة المحددة في العقد، وإن بناء على إرادة أحد الطرفين، وإن بلوغ العامل سن التقاعد، وإن إغلاق المنشأة نهائياً، وإن إنهاء النشاط الذي يعمل فيه العامل.,False,"The agent provided reasons such as signing the termination, expiration of the contract period, and retirement, but the reference answer specifies termination due to the worker's death or inability to perform work with a medical certificate.",0.0,0.8333333333333334,0.7317845360921561,0.0
ما هو دور الوزارة في تحديد المنشآت ذات المخاطر الكبرى؟,"تضع الوزارة ضوابط لتحديد ""المنشآت ذات المخاطر الكبرى"" استناداً إلى قائمة المواد الخطرة، أو فئات هذه المواد أو كلتيهما.","Document 154: content: تضع الوزارة ضوابط لتحديد ""المنشآت ذات المخاطر الكبرى"" استناداً إلى قائمة المواد الخطرة، أو فئات هذه المواد أو كلتيهما.
باب: الباب الثامن: الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخدمات الصحية والاجتماعية
فصل: الفصل الثاني:الوقاية من الحوادث الصناعية الكبرى",[],"{'question_type': 'simple', 'seed_document_id': 154, 'topic': 'السلامة والصحة المهنية'}",يستند دور الوزارة في تحديد المنشآت ذات المخاطر الكبرى إلى قائمة المواد الخطرة، أو فئات هذه المواد. يصدر الوزير اللوائح والقرارات التي تتضمن الترتيبات اللازمة على مستوى المنشأة للوقاية من المخاطر الكبرى.,True,,0.99999999995,1.0,0.9999999999999997,1.0
ما هي العناصر الأساسية التي يجب أن يحتوي عليها عقد العمل وفقاً للنظام السعودي؟,يجب أن يحتوي عقد العمل على: اسم صاحب العمل ومكانه، واسم العامل وجنسيته، وما يلزم لإثبات شخصيته، وعنوان إقامته، والأجر المتفق عليه بما في ذلك المزايا والبدلات، ونوع العمل ومكانه، وتاريخ الالتحاق به، ومدته إن كان محدد المدة.,"Document 65: content: 1. مع مراعاة ما ورد في المادة (السابعة والثلاثين) من هذا النظام، تضع الوزارة نموذجاً موحداً لعقد العمل، يحتوي بصورة أساسية على: اسم صاحب العمل ومكانه، واسم العامل وجنسيته، وما يلزم لإثبات شخصيته، وعنوان إقامته، والأجر المتفق عليه بما في ذلك المزايا والبدلات، ونوع العمل ومكانه، وتاريخ الالتحاق به، ومدته إن كان محدد المدة.
2. يجب أن يكون عقد العمل وفق النموذج المشار إليه في الفقرة (1) من هذه المادة، ولطرفي العقد أن يضيفا إليه بنوداً أخرى، بما لا يتعارض مع أحكام هذا النظام ولائحته والقرارات الصادرة تنفيذاً له.
باب: الباب الخامس: علاقات العمل
فصل: الفصل الأول: عقد العمل",[],"{'question_type': 'simple', 'seed_document_id': 65, 'topic': 'قانون العمل السعودي'}","عقد العمل السعودي يجب أن يحتوي على العناصر التالية:

اسم صاحب العمل ومكانه، واسم العامل وجنسيته، وما يلزم لإثبات شخصيته، وعنوان إقامته، والأجر المتفق عليه بما في ذلك المزايا والبدلات، ونوع العمل ومكانه، وتاريخ الالتحاق به، ومدته إن كان محدد المدة.",True,,0.49999999995,1.0,0.9054440385422639,1.0
ما المقصود بالعمل في المناجم والمحاجر وفقًا للمادة المقدمة؟,العمل في المناجم والمحاجر يشمل العمليات الخاصة بالبحث أو الكشف عن المواد المعدنية، بما في ذلك الأحجار الكريمة، أو استخراجها، أو تصنيعها بالمنطقة الصادر عنها الترخيص، سواء أكانت المعادن صلبة أم سائلة، بالإضافة إلى العمليات الخاصة باستخراج رواسب المواد المعدنية الموجودة على سطح الأرض أو في باطنها، أو تركيزها، أو تصنيعها في منطقة الترخيص، وما يلحق بهذه العمليات من أعمال البناء وإقامة التركيبات والأجهزة.,"Document 217: content: يقصد بالعمل في المناجم والمحاجر الآتي:-
1. العمليات الخاصة بالبحث، أو الكشف عن المواد المعدنية، بما في ذلك الأحجار الكريمة، أو استخراجها، أو تصنيعها بالمنطقة الصادر عنها الترخيص، سواء أكانت المعادن صلبة أم سائلة.
2. العمليات الخاصة باستخراج رواسب المواد المعدنية الموجودة على سطح الأرض أو في باطنها، أو تركيزها، أو تصنيعها في منطقة الترخيص.
3. ما يلحق بالعمليات المشار إليها في الفقرتين 1-2 من هذه المادة من أعمال البناء وإقامة التركيبات والأجهزة.
باب: الباب الثاني عشر: العمل في المناجم والمحاجر
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 217, 'topic': 'قانون العمل السعودي'}","يُشير مصطلح ""العمل في المناجم والمحاجر"" إلى العمليات الخاصة بالبحث، أو الكشف عن المواد المعدنية، بما في ذلك الأحجار الكريمة، أو استخراجها، أو تصنيعها بالمنطقة الصادر عنها الترخيص، سواء أكانت المعادن صلبة أم سائلة.",False,"The agent's answer is incomplete. It correctly describes the work in mines and quarries but omits the additional details about extracting mineral deposits from the surface or subsurface, concentrating or manufacturing them, and related construction and installation activities.",0.9999999999,1.0,0.6231186529284383,1.0
ما هي المدة الزمنية المحددة لتقديم تقرير تفتيش العمل السنوي في المملكة؟,مدة لا تتجاوز مائة وثمانين يوماً من نهاية العام.,"Document 239: content: يقدم وكيل الوزارة للشؤون العمالية تقريراً سنوياً شاملاً عن تفتيش العمل في المملكة، وذلك خلال مدة لا تتجاوز مائة وثمانين يوماً من نهاية العام، يتناول كل ما يتعلق برقابة الوزارة على تنفيذ أحكام نظام العمل.
ويشمل التقرير على الأخص ما يأتي:
1. بياناً بالأحكام المنظمة للتفتيش.
2. بياناً بالموظفين المختصين بالتفتيش.
3. إحصاءات بالمنشآت الخاضعة للتفتيش وعدد العمال فيها.
4. إحصاءات عن زيارات المفتشين وجولاتهم.
5. إحصاءات عن المخالفات التي وقعت، والجزاءات التي حكم بها.
6. إحصاءات عن إصابات العمل.
7. إحصاءات عن أمراض المهن.
باب: الباب الثالث عشر: تفتيش العمل
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 239, 'topic': 'تفتيش العمل'}",يعد رئيس تفتيش العمل في مكتب العمل تقريراً سنوياً عن نشاط تفتيش العمل، ونواحي التفتيش، والمنشآت التي تم التفتيش عليها وعدد المخالفات المرتكبة ونوعها والتدابير المتخذة بشأنها.,False,"The agent provided a description of the annual labor inspection report but did not specify the time frame for submitting it, which is within 180 days from the end of the year.",0.9999999999,0.4,0.48172930317858204,1.0
ما هي مسؤولية صاحب العمل تجاه الحوادث التي تصيب أشخاصًا غير عماله في أماكن العمل؟,صاحب العمل مسؤول عن الطوارئ والحوادث التي يصاب بها أشخاص آخرون غير عماله، ممن يدخلون أماكن العمل بحكم الوظيفة، أو بموافقة صاحب العمل أو وكلائه، إذا كانت بسبب إهمال اتخاذ الاحتياطات الفنية التي يتطلبها نوع عمله. وعليه أن يعوضهم عما يصيبهم من عطل وضرر حسب الأنظمة العامة.,"Document 150: content: صاحب العمل مسؤول عن الطوارئ والحوادث التي يصاب بها أشخاص آخرون غير عماله، ممن يدخلون أماكن العمل بحكم الوظيفة، أو بموافقة صاحب
العمل أو وكلائه، إذا كانت بسبب إهمال اتخاذ الاحتياطات الفنية التي يتطلبها نوع عمله. وعليه أن يعوضهم عما يصيبهم من عطل وضرر حسب الأنظمة
العامة.
باب: الباب الثامن: الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخدمات الصحية والاجتماعية
فصل: الفصل الأول:الوقاية من مخاطر العمل",[],"{'question_type': 'simple', 'seed_document_id': 150, 'topic': 'السلامة والصحة المهنية'}",يجب على صاحب العمل أن يعوض أصحاب الحوادث غير العمال بمنع عطلهم وضررهما، وفقاً للأنظمة العامة.,False,The agent's answer is incomplete. It should specify that the employer is responsible if the accidents are due to negligence in taking the technical precautions required by the nature of the work.,0.9999999999,0.6666666666666666,0.7022032740982885,1.0
ما هي الشروط المطلوبة لمفتش العمل عند ممارسته لعمله في السعودية؟,يشترط في مفتش العمل عند ممارسته لعمله أن يكون متصفاً بالحياد التام، وألا تكون له أي صلة مباشرة أو غير مباشرة بالمنشآت التي يقوم بتفتيشها، وأن يكون قد اجتاز فحصاً مسلكياً بعد قضائه فترة تدريب لا تقل عن تسعين يوماً.,"Document 228: content: يشترط في مفتش العمل عند ممارسته لعمله - بالإضافة إلى الشروط العامة في تعيين الموظفين - ما يأتي:
1. أن يكون متصفاً بالحياد التام.
2. ألا تكون له أي صلة مباشرة، أو غير مباشرة، بالمنشآت التي يقوم بتفتيشها.
3. أن يكون قد اجتاز فحصاً مسلكياً بعد قضائه فترة تدريب لا تقل عن تسعين يوماً.
باب: الباب الثالث عشر: تفتيش العمل
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 228, 'topic': 'تفتيش العمل'}","يشترط في مفتش العمل عند ممارسته لعمله في السعودية:

1. أن يكون متصفاً بالحياد التام.
2. ألا تكون له أي صلة مباشرة، أو غير مباشرة، بالمنشآت التي يقوم بتفتيشها.
3. أن يكون قد اجتاز فحصاً مسلكياً بعد قضائه فترة تدريب لا تقل عن تسعين يوماً.",True,,0.49999999995,1.0,0.7319082862488632,1.0
ما هي صلاحيات مفتشي العمل في السعودية وفقاً لنظام العمل؟,يحق لمفتشي العمل دخول أي منشأة خاضعة لأحكام نظام العمل في أي وقت دون إشعار سابق، القيام بأي فحص أو تحقيق لازم للتحقق من سلامة تنفيذ النظام، سؤال صاحب العمل أو العمال عن أي أمر متعلق بتنفيذ أحكام النظام، الاطلاع على الدفاتر والسجلات والوثائق، وأخذ عينات من المواد المستعملة لتحليلها في المختبرات الحكومية.,"Document 231: content: يحق لمفتشي العمل:
1. دخول أي منشأة خاضعة لأحكام نظام العمل في أي وقت من أوقات النهار أو الليل، دون إشعار سابق.
2. القيام بأي فحص أو تحقيق لازم للتحقق من سلامة تنفيذ النظام. ولهم على الأخص ما يأتي:
أ. سؤال صاحب العمل أو من يمثله، أو العمال، على انفراد أو في حضور شهود، عن أي أمر من الأمور المتعلقة بتنفيذ أحكام النظام.
ب. الاطلاع على جميع الدفاتر والسجلات والوثائق الأخرى اللازم الاحتفاظ بها طبقاً لأحكام هذا النظام والقرارات الصادرة بمقتضاه، والحصول على صور ومستخرجات منها.
ج. أخذ عينة أو عينات من المواد المستعملة أو المتداولة في العمليات الصناعية وغيرها الخاضعة للتفتيش، مما يظن أن لها أثراً ضاراً على صحة العمال، أو سلامتهم، وذلك لغرض تحليلها في المختبرات الحكومية ومعرفة مدى هذا الأثر، مع إبلاغ صاحب العمل أو ممثله بذلك.
باب: الباب الثالث عشر: تفتيش العمل
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 231, 'topic': 'قانون العمل السعودي'}",تتولى مفتشين العمل في السعودية الصلاحية والاختصاصات المنصوص عليها في نظام العمل. يمكنهم تحديد العمال الذين يُعتبرون غير مرخصين، وتقديم التوجيهات لصاحب العمل لتحسين ظروف العمل.,False,"The agent provided a vague answer about the roles of labor inspectors, mentioning only identifying unlicensed workers and giving guidance, but it should have included specific powers such as entering establishments, conducting inspections, questioning employers or workers, reviewing documents, and taking samples for analysis.",0.0,0.3333333333333333,0.7730877634724803,0.0
ما هي الحقوق المالية للمصاب في حالة عجزه المؤقت عن العمل بسبب إصابة عمل؟,للمصاب الحق في معونة مالية تعادل أجره كاملاً لمدة ستين يوماً ثم يستحق مقابلاً مالياً يعادل (75%) من أجره طوال المدة التي يستغرقها علاجه.,"Document 164: content: للمصاب - في حالة عجزه المؤقت عن العمل الناتج من إصابة عمل - الحق في معونة مالية تعادل أجره كاملاً لمدة ستين يوماً ثم يستحق مقابلاً مالياً يعادل
(75%) من أجره طوال المدة التي يستغرقها علاجه. فإذا بلغت مدة العلاج سنة أو تقرر طبياً عدم احتمال شفائه وحالته الصحية لا تمكنه من العمل، عدت
الإصابة عجزاً كلياً، وينهى العقد ويعوض عن الإصابة. ولا يكون لصاحب العمل حق في استرداد ما دفعه إلى المصاب خلال تلك السنة.
باب: الباب الثامن: الوقاية من مخاطر العمل والوقاية من الحوادث الصناعية الكبرى وإصابات العمل والخدمات الصحية والاجتماعية
فصل: الفصل الثالث: إصابات العمل",[],"{'question_type': 'simple', 'seed_document_id': 164, 'topic': 'السلامة والصحة المهنية'}",في حالة عجزه المؤقت عن العمل الناتج من إصابة عمل، يتعادل حق المصاب في معونة مالية تعادل أجره كاملاً لمدة ستين يوماً.,False,"The agent stated that the injured person receives full pay for sixty days, but should have also mentioned that after that, they receive 75% of their salary for the duration of their treatment.",0.9999999999,1.0,0.6516887115643704,1.0
ما هي المدة القصوى لغياب العاملة بسبب المرض الناشئ عن إجازة الوضع في السنة؟,ألا تتجاوز مدة غيابها (مائة وثمانين) يوماً في السنة سواء أكانت متصلة أم متفرقة.,"Document 184: content: لا يجوز لصاحب العمل فصل العاملة أو إنذارها بالفصل أثناء تمتعها بإجازة الوضع، ويشمل ذلك مدة مرضها الناشئ عن أي منهما، على أن يثبت المرض بشهادة طبية معتمدة، وألا تتجاوز مدة غيابها (مائة وثمانين) يوماً في السنة سواء أكانت متصلة أم متفرقة.
باب: الباب التاسع: تشغيل النساء
فصل: None",[],"{'question_type': 'simple', 'seed_document_id': 184, 'topic': 'قانون العمل السعودي'}",المدة القصوى لغياب العاملة بسبب المرض الناشئ عن إجازة الوضع في السنة لا تتجاوز (مائة وثمانين) يوماً.,True,,0.9999999999,1.0,1.0000000000000002,1.0
